,,Diet-Inv,Diet-vert,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,,BodyMass-Value,Tamanho
Emberizoides herbicola,spp66,40,0,20,0,30,10,Omnivore,70,30,0,0,0,inferior,"27,55",small
Embernagra platensis,spp67,40,0,20,0,30,10,Omnivore,20,60,20,0,0,inferior,"45,5",small
Empidonomus varius,spp68,60,0,40,0,0,0,FrugInsect,0,30,70,0,0,médio,"27,1",small
Estrilda astrild,spp69,0,0,0,0,100,0,Seed,50,50,0,0,0,inferior,"8,29",small
Euphonia chlorotica,spp70,0,0,100,0,0,0,Fruit,0,0,10,90,0,superior,11,small
Euphonia cyanocephala,spp71,0,0,100,0,0,0,Fruit,0,20,40,40,0,superior,14,small
Euscarthmus meloryphus,spp72,100,0,0,0,0,0,Invertebrate,0,100,0,0,0,inferior,"6,8",small
Falco femoralis,spp73,50,50,0,0,0,0,Omnivore,30,30,20,10,10,todos ,"335,76",large
Fluvicola nengeta,spp74,100,0,0,0,0,0,Invertebrate,60,40,0,0,0,inferior,21,small
Forpus xanthopterus,spp75,0,0,50,0,50,0,Fruit,100,0,0,0,0,inferior,31,small
Furnarius rufus,spp76,80,0,0,0,20,0,Invertebrate,70,30,0,0,0,inferior,"46,42",small
Galbula ruficauda,spp77,100,0,0,0,0,0,Invertebrate,0,50,50,0,0,médio,"26,5",small
Geothlypis aequinoctialis,spp78,100,0,0,0,0,0,Invertebrate,0,100,0,0,0,inferior,"13,1",small
Geotrygon montana,spp79,20,0,30,0,50,0,Omnivore,100,0,0,0,0,inferior,"133,86",large
Geranoaetus albicaudatus,spp80,10,90,0,0,0,0,Vertebrate,100,0,0,0,0,inferior,885,large
Geranospiza caerulescens,spp81,30,70,0,0,0,0,Vertebrate,20,30,50,0,0,médio,"302,5",large
